WHEAT,ORE,WOOD,BRICK,SHEEP,TOTAL,POINTS PER TURN
3,2,0,13,2,20,0.05357142857142857
4,3,9,0,4,20,0.125
4,6,0,5,5,20,0.05357142857142857
4,3,8,4,2,21,0.17857142857142858
5,5,0,8,4,22,0.056818181818181816
0,3,8,5,4,20,0.06818181818181818
8,7,4,2,0,21,0.10227272727272728
4,8,7,0,4,23,0.11363636363636363
3,0,9,4,5,21,0.05555555555555555
8,6,3,4,0,21,0.1111111111111111
5,6,5,0,5,21,0.06666666666666667
3,3,5,2,9,22,0.08888888888888889
5,0,9,1,5,20,0.07042253521126761
0,1,5,8,7,21,0.028169014084507043
3,2,8,8,0,21,0.14084507042253522
8,4,9,0,0,21,0.11267605633802817
4,4,2,0,10,20,0.05063291139240506
7,0,1,5,8,21,0.10126582278481013
4,0,3,4,9,20,0.12658227848101267
0,8,6,2,5,21,0.0759493670886076
2,2,8,5,4,21,0.12359550561797752
5,3,4,5,4,21,0.10112359550561797
2,5,9,5,0,21,0.10112359550561797
3,5,5,5,2,20,0.07865168539325842
0,0,8,0,14,22,0.07
1,4,3,13,0,21,0.09
5,0,5,5,6,21,0.08
7,2,6,5,0,20,0.1
8,0,0,10,4,22,0.07692307692307693
0,3,8,6,4,21,0.1282051282051282
9,0,11,0,1,21,0.0641025641025641
8,5,0,4,4,21,0.0641025641025641
8,0,8,5,0,21,0.03333333333333333
4,5,8,0,4,21,0.08333333333333333
4,0,6,4,7,21,0.05
9,5,5,4,0,23,0.16666666666666666
1,3,5,5,8,22,0.09375
4,5,4,5,4,22,0.140625
0,3,5,5,8,21,0.0625
3,8,3,9,0,23,0.15625
0,4,6,1,10,21,0.061224489795918366
3,10,4,1,3,21,0.10204081632653061
9,0,2,0,10,21,0.061224489795918366
12,0,6,3,0,21,0.07142857142857142
0,1,12,5,3,21,0.08163265306122448
7,0,4,7,3,21,0.10204081632653061
7,5,0,0,10,22,0.09183673469387756
7,0,3,8,4,22,0.08163265306122448
3,5,6,0,8,22,0.041666666666666664
0,5,0,6,9,20,0.041666666666666664
2,3,9,0,7,21,0.08333333333333333
12,3,5,0,3,23,0.1388888888888889
0,4,2,8,8,22,0.027777777777777776
5,0,5,0,11,21,0.05555555555555555
6,0,2,8,5,21,0.06944444444444445
5,5,0,2,10,22,0.1527777777777778
5,4,4,3,4,20,0.0625
6,9,2,0,4,21,0.1125
3,5,6,5,2,21,0.0875
8,5,4,0,5,22,0.125
0,7,4,5,5,21,0.136986301369863
11,0,4,0,5,20,0.0821917808219178
0,0,6,3,10,19,0.0547945205479452
6,3,4,3,5,21,0.0684931506849315
4,0,7,9,0,20,0.08108108108108109
7,0,5,0,9,21,0.05405405405405406
3,9,7,0,3,22,0.09009009009009009
0,3,5,8,6,22,0.04504504504504504
8,5,5,3,0,21,0.1111111111111111
10,3,3,0,5,21,0.07936507936507936
4,3,8,5,2,22,0.15873015873015872
2,4,11,4,0,21,0.09523809523809523
2,8,0,0,12,22,0.0784313725490196
4,8,0,9,0,21,0.09803921568627451
2,5,5,5,4,21,0.058823529411764705
0,3,5,5,7,20,0.0784313725490196
5,7,3,0,6,21,0.06382978723404255
8,0,3,5,4,20,0.10638297872340426
5,8,0,0,6,19,0.0851063829787234
0,3,3,5,10,21,0.07446808510638298
3,4,0,10,3,20,0.09
0,3,8,0,10,21,0.06
0,5,11,5,0,21,0.05
0,0,8,5,10,23,0.1
0,9,3,5,4,21,0.04411764705882353
0,9,4,8,0,21,0.07352941176470588
0,0,7,11,3,21,0.04411764705882353
6,8,0,4,3,21,0.14705882352941177
4,0,2,1,14,21,0.08955223880597014
4,8,2,3,4,21,0.05970149253731343
4,3,0,8,7,22,0.14925373134328357
4,3,5,0,10,22,0.07462686567164178
0,5,2,4,10,21,0.04
3,0,3,4,11,21,0.10666666666666667
5,5,2,5,4,21,0.13333333333333333
2,0,8,5,5,20,0.10666666666666667
8,4,1,5,2,20,0.14492753623188406
5,2,8,0,6,21,0.028985507246376812
4,0,4,9,4,21,0.07246376811594203
0,6,5,9,3,23,0.057971014492753624
0,5,4,4,8,21,0.038461538461538464
6,5,7,3,0,21,0.1282051282051282
17,0,4,0,0,21,0.0641025641025641
4,1,8,3,5,21,0.10256410256410256
9,0,4,6,2,21,0.17543859649122806
0,2,10,4,5,21,0.07017543859649122
12,0,6,0,4,22,0.05263157894736842
5,5,3,9,0,22,0.07017543859649122
10,0,4,0,7,21,0.06451612903225806
13,2,0,3,3,21,0.16129032258064516
5,5,6,3,3,22,0.08064516129032258
0,2,4,1,14,21,0.06451612903225806
5,1,0,3,12,21,0.061224489795918366
10,0,7,3,0,20,0.11224489795918367
5,6,0,5,4,20,0.09183673469387756
5,5,7,0,3,20,0.061224489795918366
4,4,4,0,8,20,0.14492753623188406
2,4,2,0,13,21,0.043478260869565216
5,7,8,0,0,20,0.07246376811594203
8,4,4,0,3,19,0.08695652173913043
4,0,12,5,0,21,0.07608695652173914
9,2,7,0,3,21,0.07608695652173914
4,7,4,0,6,21,0.07608695652173914
7,5,2,3,3,20,0.10869565217391304
7,0,9,0,5,21,0.025210084033613446
4,2,9,6,0,21,0.05042016806722689
3,5,2,3,8,21,0.08403361344537816
0,2,7,5,8,22,0.06722689075630252
5,3,2,2,8,20,0.050505050505050504
1,4,5,0,10,20,0.050505050505050504
5,0,8,3,4,20,0.10101010101010101
0,3,0,5,13,21,0.030303030303030304
0,0,9,11,0,20,0.03296703296703297
0,1,3,5,12,21,0.04395604395604396
4,0,3,9,4,20,0.12087912087912088
5,10,3,0,3,21,0.0989010989010989
4,0,11,5,0,20,0.0707070707070707
1,0,6,9,4,20,0.06060606060606061
5,4,3,5,3,20,0.10101010101010101
2,4,7,5,3,21,0.09090909090909091
1,12,0,8,0,21,0.047619047619047616
0,3,3,4,10,20,0.047619047619047616
0,5,5,2,9,21,0.06802721088435375
6,0,6,0,7,19,0.02040816326530612
4,3,11,0,3,21,0.06315789473684211
14,4,2,0,0,20,0.06315789473684211
7,2,0,7,5,21,0.10526315789473684
5,2,2,12,0,21,0.06315789473684211
4,0,7,0,11,22,0.04597701149425287
0,10,5,0,5,20,0.08045977011494253
11,0,5,5,0,21,0.11494252873563218
3,0,8,4,8,23,0.10344827586206896
5,2,5,9,0,21,0.043478260869565216
8,5,8,0,0,21,0.09782608695652174
6,0,0,9,7,22,0.06521739130434782
7,3,7,5,0,22,0.11956521739130435
11,0,6,0,4,21,0.06382978723404255
6,5,3,0,7,21,0.10638297872340426
9,0,4,5,3,21,0.09574468085106383
3,7,5,5,0,20,0.031914893617021274
0,6,5,6,4,21,0.06060606060606061
8,7,1,0,5,21,0.15151515151515152
0,0,8,4,9,21,0.06060606060606061
8,7,4,2,0,21,0.09090909090909091
0,8,0,10,2,20,0.02631578947368421
0,4,7,5,5,21,0.05263157894736842
5,0,7,0,10,22,0.07894736842105263
8,0,7,5,2,22,0.13157894736842105
5,0,3,12,0,20,0.05063291139240506
6,5,3,0,6,20,0.11392405063291139
8,3,0,5,4,20,0.12658227848101267
4,0,5,5,7,21,0.06329113924050633
8,5,8,0,0,21,0.08333333333333333
5,0,11,3,2,21,0.1
3,2,0,8,9,22,0.08333333333333333
5,5,3,3,6,22,0.2
9,4,2,0,7,22,0.10126582278481013
9,3,8,0,0,20,0.06329113924050633
3,4,12,3,0,22,0.12658227848101267
4,7,3,0,9,23,0.0759493670886076
0,4,2,10,7,23,0.04597701149425287
5,12,5,0,0,22,0.09195402298850575
6,4,2,5,4,21,0.12643678160919541
11,0,10,0,0,21,0.034482758620689655
1,4,8,0,9,22,0.038461538461538464
5,0,8,6,2,21,0.1282051282051282
2,5,2,3,9,21,0.0641025641025641
7,0,2,6,5,20,0.07692307692307693
0,5,4,3,10,22,0.08333333333333333
3,10,4,0,3,20,0.06481481481481481
0,5,9,5,2,21,0.05555555555555555
4,9,4,6,0,23,0.09259259259259259
1,0,6,4,10,21,0.05747126436781609
0,12,4,3,2,21,0.06896551724137931
2,3,5,3,9,22,0.11494252873563218
6,4,0,0,12,22,0.05747126436781609
0,0,8,4,10,22,0.0707070707070707
3,0,9,0,8,20,0.06060606060606061
13,3,2,4,0,22,0.10101010101010101
7,0,0,8,8,23,0.06060606060606061
5,0,8,4,4,21,0.04597701149425287
0,3,10,4,3,20,0.05747126436781609
10,2,0,3,6,21,0.11494252873563218
12,5,0,0,3,20,0.10344827586206896
0,11,4,7,0,22,0.045454545454545456
0,3,6,8,4,21,0.045454545454545456
5,9,2,5,0,21,0.09090909090909091
10,8,0,0,2,20,0.22727272727272727
7,5,0,5,5,22,0.16923076923076924
0,5,6,9,0,20,0.06153846153846154
4,2,0,10,5,21,0.06153846153846154
12,0,3,0,8,23,0.046153846153846156
12,5,0,4,0,21,0.09375
7,3,0,0,11,21,0.046875
7,3,0,2,8,20,0.125
5,3,1,6,5,20,0.15625
17,0,0,0,4,21,0.09090909090909091
8,8,0,2,3,21,0.15151515151515152
5,2,8,0,6,21,0.07575757575757576
0,7,0,7,8,22,0.07575757575757576
10,0,0,3,9,22,0.04
5,8,7,0,2,22,0.2
0,0,2,7,12,21,0.1
5,3,3,3,9,23,0.06
2,9,0,10,0,21,0.075
0,5,6,9,0,20,0.0625
0,4,5,3,10,22,0.0375
7,0,8,3,5,23,0.125
3,4,10,0,5,22,0.05405405405405406
2,2,5,4,9,22,0.13513513513513514
3,2,0,11,5,21,0.0945945945945946
3,1,8,3,5,20,0.08108108108108109
6,3,2,0,9,20,0.11764705882352941
9,7,4,1,0,21,0.10588235294117647
8,0,4,0,8,20,0.047058823529411764
3,0,7,6,5,21,0.09411764705882353
5,0,3,1,12,21,0.05263157894736842
5,0,5,0,11,21,0.05263157894736842
5,7,5,0,4,21,0.10526315789473684
6,5,0,4,7,22,0.13157894736842105
10,5,5,0,3,23,0.14492753623188406
2,0,5,5,10,22,0.07246376811594203
9,0,8,0,4,21,0.07246376811594203
3,2,0,13,3,21,0.043478260869565216
6,0,8,0,7,21,0.04225352112676056
0,4,11,3,3,21,0.09859154929577464
8,5,0,2,6,21,0.14084507042253522
8,0,12,2,0,22,0.056338028169014086
0,1,3,0,17,21,0.044444444444444446
5,0,4,8,4,21,0.1111111111111111
0,3,10,3,5,21,0.1
10,0,2,5,5,22,0.05555555555555555
12,0,3,5,0,20,0.04878048780487805
8,8,0,4,0,20,0.06504065040650407
4,0,11,0,5,20,0.08130081300813008
